CustomerID,Gender,Age,Tenure,MonthlyCharges,TotalCharges,PaymentMethod,Churn,ServiceUsage1,ServiceUsage2,ServiceUsage3
CUST0112,Male,69.0,10.0,101.9,8164.03,Cash,No,50.0,18.0,16.0
CUST0113,Female,21.0,37.0,23.87,8193.46,Bank Transfer,No,20.0,33.0,2.0
CUST0114,Male,22.0,55.0,23.2,7812.97,PayPal,No,79.0,21.0,101.0
CUST0115,Female,66.0,63.0,78.39,4256.13,Credit Card,No,74.0,11.0,196.0
CUST0116,Male,55.0,1.0,77.03,5224.44,Cash,No,1.0,15.0,23.0
CUST0117,Female,19.0,6.0,32.52,9177.48,Credit Card,No,38.0,22.0,22.0
CUST0118,Female,57.0,5.0,141.04,7045.18,Cash,No,78.0,11.0,41.0
CUST0119,Male,67.0,54.0,87.83,8123.72,PayPal,Yes,9.0,46.0,145.0
CUST0120,Female,53.0,55.0,97.48,5349.28,PayPal,No,30.0,38.0,16.0
CUST0121,Female,40.0,3.0,72.68,1701.34,PayPal,No,47.0,35.0,112.0
CUST0122,Male,56.0,41.0,44.15,9004.15,PayPal,Yes,7.0,18.0,10.0
CUST0123,Female,46.0,32.0,139.7,5683.82,Bank Transfer,No,10.0,5.0,144.0
CUST0124,Female,43.0,35.0,33.1,1815.36,Bank Transfer,No,42.0,14.0,59.0
CUST0125,Female,30.0,3.0,46.02,7728.48,PayPal,No,18.0,48.0,41.0
CUST0126,Female,33.0,23.0,133.09,3364.54,Credit Card,No,2.0,44.0,171.0
CUST0127,Female,54.0,1.0,117.36,2256.29,PayPal,No,81.0,20.0,193.0
CUST0128,Male,58.0,68.0,131.82,2934.17,Bank Transfer,No,47.0,8.0,65.0
CUST0129,Female,31.0,15.0,47.88,2195.76,Cash,No,45.0,42.0,32.0
CUST0130,Female,26.0,37.0,71.28,7617.29,Cash,No,46.0,35.0,173.0
CUST0131,Male,37.0,55.0,141.75,1469.22,PayPal,No,9.0,4.0,170.0
CUST0132,Female,24.0,40.0,131.54,6107.18,Cash,No,6.0,36.0,194.0
CUST0133,Male,21.0,41.0,115.72,3751.68,Credit Card,Yes,46.0,21.0,131.0
CUST0134,Female,31.0,55.0,21.78,5286.52,PayPal,No,86.0,18.0,180.0
CUST0135,Female,22.0,25.0,31.76,3117.08,PayPal,No,4.0,41.0,116.0
CUST0136,Female,42.0,36.0,127.03,1100.89,Cash,No,6.0,30.0,198.0
CUST0137,Female,25.0,5.0,45.9,9200.66,PayPal,Yes,84.0,43.0,170.0
CUST0138,Female,48.0,14.0,105.24,8596.12,Bank Transfer,Yes,20.0,2.0,28.0
CUST0139,Female,67.0,53.0,83.52,2331.44,Credit Card,No,65.0,42.0,75.0
CUST0140,Male,62.0,10.0,75.42,1968.78,Cash,Yes,67.0,35.0,24.0
CUST0141,Male,38.0,63.0,83.93,7831.91,Bank Transfer,No,13.0,11.0,74.0
CUST0142,Female,19.0,55.0,30.19,1896.63,Credit Card,No,62.0,26.0,106.0
CUST0143,Female,49.0,24.0,39.83,1728.47,PayPal,No,50.0,29.0,44.0
CUST0144,Male,56.0,31.0,89.92,8332.17,Cash,No,14.0,26.0,129.0
CUST0145,Female,25.0,6.0,136.39,2136.56,Credit Card,Yes,61.0,19.0,131.0
CUST0146,Female,35.0,57.0,118.55,6378.81,Cash,Yes,17.0,41.0,80.0
CUST0147,Male,21.0,66.0,53.2,1502.99,Credit Card,No,87.0,49.0,177.0
CUST0148,Male,36.0,25.0,83.53,9494.16,Bank Transfer,No,88.0,49.0,98.0
CUST0149,Female,40.0,69.0,141.26,7051.56,Credit Card,No,18.0,29.0,180.0
CUST0150,Female,54.0,19.0,28.94,6930.2,Credit Card,No,30.0,20.0,80.0
CUST0151,Female,43.0,58.0,131.65,7996.19,Credit Card,No,24.0,10.0,9.0
CUST0152,Male,18.0,34.0,66.37,7465.86,Bank Transfer,No,45.0,17.0,112.0
CUST0153,Male,60.0,14.0,111.67,4703.24,Bank Transfer,No,77.0,41.0,166.0
CUST0154,Female,31.0,24.0,22.4,7171.93,Cash,Yes,98.0,4.0,52.0
CUST0155,Female,18.0,53.0,140.45,4650.42,Credit Card,No,17.0,33.0,20.0
CUST0156,Female,34.0,23.0,54.15,7602.99,PayPal,Yes,33.0,0.0,113.0
CUST0157,Male,67.0,22.0,145.96,2464.23,Bank Transfer,No,57.0,11.0,176.0
CUST0158,Female,54.0,70.0,145.63,7950.11,Bank Transfer,Yes,32.0,16.0,86.0
CUST0159,Male,47.0,38.0,67.67,922.76,PayPal,Yes,56.0,45.0,117.0
CUST0160,Male,54.0,43.0,93.87,4989.47,PayPal,No,68.0,45.0,153.0
CUST0161,Male,29.0,48.0,55.68,1047.11,Cash,No,71.0,3.0,136.0
CUST0162,Female,41.0,35.0,63.93,1072.38,Cash,No,77.0,26.0,95.0
CUST0163,Female,23.0,46.0,59.38,1013.7,Cash,Yes,45.0,14.0,174.0
CUST0164,Female,48.0,9.0,62.26,2752.33,Bank Transfer,No,59.0,3.0,88.0
CUST0165,Female,42.0,11.0,65.9,1649.68,Bank Transfer,No,10.0,34.0,186.0
CUST0166,Female,19.0,45.0,94.75,5931.22,PayPal,No,80.0,35.0,170.0
CUST0167,Female,19.0,2.0,33.69,9661.88,Bank Transfer,No,81.0,31.0,34.0
CUST0168,Male,36.0,49.0,67.98,8535.13,Credit Card,No,99.0,19.0,12.0
CUST0169,Female,37.0,3.0,32.95,1408.6,Cash,No,11.0,10.0,100.0
CUST0170,Male,47.0,53.0,78.84,5452.12,PayPal,Yes,31.0,39.0,174.0
CUST0171,Female,55.0,62.0,108.79,1574.81,Bank Transfer,No,16.0,21.0,46.0
CUST0172,Female,20.0,56.0,89.13,4436.69,PayPal,No,82.0,49.0,168.0
CUST0173,Female,54.0,4.0,121.26,1881.18,PayPal,No,77.0,34.0,19.0
CUST0174,Female,19.0,42.0,91.46,3191.64,Credit Card,No,54.0,25.0,144.0
CUST0175,Female,23.0,68.0,125.07,9478.36,Credit Card,No,12.0,26.0,82.0
CUST0176,Male,28.0,51.0,107.57,8267.11,PayPal,No,5.0,37.0,92.0
CUST0177,Female,46.0,2.0,128.01,4874.34,Credit Card,No,28.0,39.0,79.0
CUST0178,Male,41.0,40.0,35.8,9008.14,Cash,Yes,8.0,38.0,194.0
CUST0179,Male,50.0,40.0,138.39,348.89,Cash,No,69.0,5.0,82.0
CUST0180,Female,59.0,7.0,25.49,2196.36,Cash,No,20.0,7.0,150.0
CUST0181,Female,27.0,5.0,115.07,6607.39,Bank Transfer,No,76.0,28.0,160.0
CUST0182,Female,68.0,41.0,109.2,9760.78,Bank Transfer,No,34.0,33.0,192.0
CUST0183,Male,69.0,6.0,45.67,1610.93,Credit Card,No,62.0,45.0,90.0
CUST0184,Male,65.0,14.0,106.86,2641.71,Bank Transfer,No,2.0,34.0,109.0
CUST0185,Female,48.0,59.0,117.02,8792.83,Bank Transfer,No,30.0,30.0,48.0
CUST0186,Male,58.0,50.0,126.83,7947.94,Cash,No,99.0,2.0,190.0
CUST0187,Male,50.0,51.0,132.49,6069.25,Cash,No,86.0,29.0,193.0
CUST0188,Female,60.0,23.0,94.36,7780.75,PayPal,No,66.0,21.0,45.0
CUST0189,Female,54.0,20.0,34.66,118.08,PayPal,No,69.0,13.0,121.0
CUST0190,Male,60.0,55.0,82.47,1029.97,Credit Card,No,45.0,7.0,96.0
CUST0191,Male,66.0,23.0,39.66,2846.54,Credit Card,Yes,15.0,32.0,148.0
CUST0192,Male,49.0,8.0,85.1,5967.94,Bank Transfer,Yes,69.0,48.0,108.0
CUST0193,Female,68.0,70.0,120.45,4724.12,PayPal,No,80.0,47.0,27.0
CUST0194,Male,69.0,50.0,35.59,1667.44,PayPal,Yes,51.0,15.0,100.0
CUST0195,Female,25.0,2.0,108.73,5110.32,Cash,No,84.0,24.0,171.0
CUST0196,Male,32.0,61.0,113.54,9607.02,Credit Card,Yes,80.0,39.0,147.0
CUST0197,Male,47.0,67.0,133.12,4380.96,PayPal,No,21.0,46.0,62.0
CUST0198,Female,61.0,9.0,96.09,1599.3,Credit Card,No,56.0,23.0,154.0
CUST0199,Male,24.0,45.0,142.44,3527.95,PayPal,Yes,69.0,15.0,118.0
CUST0200,Female,67.0,34.0,128.86,2008.19,PayPal,Yes,2.0,42.0,167.0
CUST0061,Male,57.81332266858984,47.98394069600506,141.5952864307213,2465.246305884616,Credit Card,No,57.69425383516642,10.04598552219865,194.6125281136098
CUST0154,Female,34.06727001911888,26.73140484742185,21.27987662209012,7443.261714427574,Cash,Yes,100.4710790194273,4.257091183220556,47.90281632548274
CUST0134,Female,30.09433245270556,52.45799099566364,23.30522706174476,5697.694167709239,PayPal,No,83.22594488446725,18.86218222771272,174.0579792210755
CUST0106,Female,54.70110733425678,11.42822682203443,23.87693849394064,2723.213949971292,Bank Transfer,No,0.0,14.20626367566545,100.6819947427155
CUST0090,Female,39.17920851890598,47.21943386242117,41.88868946646863,3665.910792360575,Cash,No,40.9158324102345,15.96616847727364,187.5998840008029
CUST0074,Male,32.26782579904136,28.39015727541242,50.28806555291423,6905.146105426796,PayPal,No,41.21671681495282,12.02137723994576,4.971915894917461
CUST0139,Female,67.95809910456752,54.28040159277466,82.23525042436454,2341.968781108348,Credit Card,No,66.00093871879126,39.65388125717759,73.38364906621716
CUST0132,Female,23.44844266604801,41.72468200128824,131.0337621315812,6080.361036520666,Cash,No,6.045327742919853,36.46880527847891,191.9971562506109
CUST0066,Female,63.43079002865128,57.91408969235596,82.43339576176443,7093.967301146789,Bank Transfer,No,82.66778184116973,18.17316983271971,110.0996801331845
CUST0124,Female,41.10806466175601,32.74606347208513,31.17450526542909,1857.522504472206,Bank Transfer,No,38.64300674294474,13.36965017311509,63.6022050609621
CUST0057,Male,64.12587734455964,55.14565684985799,111.4105066359915,4397.947969246881,Credit Card,Yes,25.27098210132752,5.384128983535645,112.9401049136168
CUST0093,Male,59.71235005171089,18.06982083311282,62.95394956348658,6006.254220173661,Cash,No,62.92409998378951,11.21549117115179,136.9039605054664
CUST0119,Male,69.29417543384082,52.47912782086154,82.09438289968342,7947.832128658954,PayPal,Yes,7.614995551822623,47.37062754513605,141.4385662320317
CUST0185,Female,49.9962653225346,64.7756912972955,121.0267875155276,9000.16259956905,Bank Transfer,No,27.590375707983,30.92768557756555,50.10726892689198
CUST0175,Female,22.27052200042127,68.94156648960947,125.2477795092306,8972.515831108793,Credit Card,No,11.96910846406638,26.05642977927437,81.47102301786067
CUST0076,Female,54.58888890087952,16.80657733672419,94.57137988357096,6606.436494323511,Credit Card,Yes,76.08910034550141,22.20953335440736,113.4989753449608
CUST0147,Male,19.7387224839981,61.99673438149814,49.52677161444699,1528.409058022031,Credit Card,No,87.22299189563067,47.50268394994917,177.1633427510299
CUST0129,Female,31.46433632705519,14.17998569393047,48.13371976550872,2185.391146044251,Cash,No,44.25036141376734,44.0454842603563,30.46663900862152
CUST0047,Male,57.56315365682337,39.29665007394717,137.5688392883356,3568.498919877657,Cash,No,93.07227156949858,3.209336074745255,85.1339228720469
CUST0053,Female,35.61414912428263,65.59181132636851,27.37455648870849,10332.80036856922,Bank Transfer,No,7.499033899764947,1.044778484895479,164.8752683577532
CUST0075,Male,58.93282271353534,66.78064976729674,77.8067467001024,8380.5630434636,Credit Card,No,28.33293603992511,30.25786916050787,170.0772091195986
CUST0065,Male,40.00262893563908,29.83228019151928,80.7054437574286,5482.159192432533,Cash,No,39.06804588003649,2.928716721118786,46.00723506494835
CUST0182,Female,68.86550622855655,37.21211326538381,113.6191745800533,9610.929187819818,Bank Transfer,No,36.61312408273614,35.31881162348532,189.5850916998428
CUST0084,Female,27.19758629649689,69.46656763449167,35.23900079435401,2894.286247333385,PayPal,No,89.88456660135678,44.97202871367917,75.733935893726
CUST0123,Female,45.768658606039,33.72390818057261,142.4670190975479,5743.678082379783,Bank Transfer,No,9.905414214246512,5.048960639358241,143.0431505398352
CUST0100,Male,25.21458596297525,50.90824942343893,125.3433201815204,8281.283135399655,Credit Card,No,92.55758770535175,44.99715016710039,111.6585849190447
CUST0180,Female,57.16411753780804,7.181219858770348,26.64763916322509,2180.41270302349,Cash,No,19.99749246736,7.162233819786769,145.4887201528697
CUST0165,Female,40.18412561064044,11.93115330156569,62.75833177944933,1567.734899690113,Bank Transfer,No,10.28449674098562,33.83691503231602,193.1196159260649
CUST0193,Female,69.6447184704118,63.61314016152982,128.512247380239,4560.282318955092,PayPal,No,77.09343767100586,48.02761055286041,26.3805499727239
CUST0030,Female,21.44167855411409,14.32684561538414,94.21746897584723,4279.438801963675,Cash,Yes,47.64674479941575,18.93511148801311,181.782006637418
CUST0029,Male,21.03348500693615,39.02861757583054,36.60432332959056,8136.624148955248,Bank Transfer,No,33.36094009856146,21.4884542841385,46.44866431843442
CUST0145,Female,25.7793041581337,6.108526863411873,140.1810564004389,2147.233119180813,Credit Card,Yes,57.35042910086991,20.61074401690734,116.3772519134113
CUST0173,Female,49.79757594708506,4.298002074199943,122.5215073114105,1831.086326693751,PayPal,No,76.2384438469319,31.92995987089699,18.35153752777229
CUST0108,Female,35.27593455569581,14.77651187248902,123.1173128280579,7123.566174267175,PayPal,No,50.03424220911639,13.15600704933277,172.613537503203
CUST0081,Male,29.09075302444905,54.45212168778502,76.6738782530627,3609.308336754397,Bank Transfer,No,46.91258103822694,14.87653867249431,134.4237070824844
CUST0051,Female,46.67909861415451,36.63573937346966,39.16515353483911,6415.970864149393,Cash,No,67.55157127214781,31.59972659075645,16.93882819086007
CUST0010,Female,37.46365007601957,57.95688963731299,84.98706536174546,5919.20986019988,Cash,No,101.804540798235,21.97130519349818,41.0656120379324
CUST0091,Female,30.44487318357541,23.57502159624145,104.0399833897351,7425.34852576772,PayPal,No,42.06839718490382,3.182008870118957,102.1695953719129
CUST0079,Female,46.20232045602716,53.37596263752378,112.2907993700206,1809.701757411847,Credit Card,Yes,4.018134874706962,29.14041916122509,18.48386774817592
CUST0055,Male,50.05868639042006,59.22526090995523,67.46042853092344,2773.488041743647,Cash,No,57.30485815410474,30.30579302469828,149.2625504954853
CUST0125,Female,32.17919713556871,2.823173612246986,43.46782699475431,7478.42197275815,PayPal,No,17.71198888548297,55.05156484018188,40.5992289372745
CUST0128,Male,59.11102913509343,70.04408938914155,134.3196220131086,2929.198517828277,Bank Transfer,No,50.45638043589981,8.286409468697158,66.2325546090983
CUST0052,Male,43.99091124954208,37.97135915621982,73.70537349668018,3010.188424238573,Bank Transfer,No,17.02853383864582,4.020354343575965,100.9378962910343
CUST0186,Male,60.04527597798496,49.7175039267773,126.567014191821,7903.799252028428,Cash,No,95.96787613705538,1.918452601513974,185.6289391441217
CUST0169,Female,38.3609107459101,3.154390831318391,32.35723223768163,1292.819891929729,Cash,No,11.01499968574104,9.580117405577166,95.27981527400956
CUST0025,Male,28.64196050613817,27.32255549958294,45.25789916043005,660.6731517205313,Credit Card,No,76.56595321227256,12.18904830203407,87.7753960215723
CUST0108,Female,31.60073034842139,14.56383119402973,133.7756672029498,6435.084383305176,PayPal,No,52.86124186915079,13.40040035216387,191.7348692508327
CUST0090,Female,41.28072736760971,46.44344061606762,40.73292519480558,4194.778969694503,Cash,No,39.32714707788492,18.16599915963903,175.9638677683262
CUST0071,Female,61.92485363136231,58.38891001623924,62.7994604375014,8877.251284375056,Credit Card,No,85.38506568816369,41.12290855243279,91.6446726139187
CUST0009,Male,29.42983330989421,49.09369691825773,94.1180555049523,1622.623573213916,Bank Transfer,No,19.40961020173552,26.66951052563387,40.91136842316011
CUST0133,Male,19.09959249592441,40.98006156053932,109.6997908911111,3925.585421153324,Credit Card,Yes,45.49978691951066,20.11290238716981,134.0208730519552
CUST0048,Female,66.71990877409685,10.63644458613828,86.24120047883919,2531.559567680009,Cash,No,33.26869567987011,0.0,134.7376689047185
CUST0051,Female,41.97889288933445,35.41601531123302,42.72021491300495,6828.783386889121,Cash,No,64.51445890775963,35.36095393157252,18.22042249281081
CUST0013,Male,51.33830973663003,49.80690915976122,143.85325756455,9572.117700912499,Cash,No,98.71404904419488,29.63861491064102,190.5688427536466
CUST0110,Male,20.08656076272532,48.11857263607387,134.3173376073399,3574.671018339979,Cash,No,9.195312207686506,33.09082862300625,178.9774596005591
CUST0142,Female,17.75657128286852,56.287672536268,29.70272971680437,1875.446705533857,Credit Card,No,61.05121754430048,26.96888920036189,115.6667976351868
CUST0045,Male,54.9119555635861,41.01375929261535,82.28925024111761,9510.547434227166,Credit Card,Yes,84.89448228635396,13.879614065809,189.8709439123932
CUST0097,Female,44.43459428368694,45.22553081452296,48.99726804285758,3433.886195681685,Bank Transfer,No,34.66610245327627,35.32052128161165,125.4141074769083
CUST0183,Male,74.0998581108143,5.858292010082451,44.57699637943203,1634.110070926572,Credit Card,No,58.73910116267534,48.43786644653811,96.07927685372856
CUST0162,Female,42.57883777129063,31.74708215621493,65.69805684300233,1139.396760937136,Cash,No,80.64694152852162,26.74186379871218,94.40216720263909
CUST0074,Male,34.85404833298035,29.20957200618362,47.09510370374161,7007.494200595126,PayPal,No,40.24630256078086,12.10709562781168,4.907193641160221
CUST0079,Female,48.97244275086035,56.82179414767208,97.28776135898639,1730.939986891692,Credit Card,Yes,4.044006565488197,29.40612889656249,17.27365872016768
CUST0022,Female,55.24576844809251,51.44155885884651,71.30309668994165,2265.818483089023,Bank Transfer,No,86.79497065184415,12.85405238270805,89.12101913046067
